share_corona_pre,share_others_pre,share_corona_post,share_others_post,countries
0.0,4.639989049625843e-06,4.8869713344224296e-05,4.128332153809861e-06,Sint Maarten
0.0,8.583979741807809e-05,0.00011170220192965554,7.077140835102619e-05,Trinidad and Tobago
0.0,2.2039947985722755e-05,1.3962775241206943e-05,2.5359754659117717e-05,Samoa
0.0,4.639989049625843e-05,7.679526382663819e-05,4.482189195564992e-05,French Guiana
0.0,2.7839934297755056e-05,6.981387620603471e-06,2.0641660769049304e-05,Suriname
0.0,9.279978099251686e-06,6.981387620603471e-06,8.256664307619722e-06,Bermuda
0.0,3.9439906921819666e-05,4.8869713344224296e-05,2.8898325076669027e-05,French Polynesia
0.0,5.567986859551011e-05,9.075803906784512e-05,4.3642368483132814e-05,Bhutan
0.0,3.015992882256798e-05,1.3962775241206943e-05,2.300070771408351e-05,Faroe Islands
0.0,4.639989049625843e-05,2.0944162861810414e-05,4.7770700636942674e-05,New Caledonia
0.0,9.395977825492331e-05,0.00016057191527387983,7.489974050483604e-05,Jamaica
0.0,7.887981384363933e-05,0.00022340440385931108,9.790044821891956e-05,Sierra Leone
0.0,4.523989323385197e-05,4.8869713344224296e-05,4.541165369190847e-05,Laos
0.0,3.479991787219382e-06,2.7925550482413885e-05,5.897617362585515e-06,Antigua and Barbuda
0.0,5.91598603827295e-05,0.0003839763191331909,7.489974050483604e-05,Afghanistan
0.0,2.7839934297755056e-05,2.0944162861810414e-05,1.887237556027365e-05,Solomon Islands
0.0,1.623996167369045e-05,2.0944162861810414e-05,2.0641660769049304e-05,Bahamas
0.0,6.959983574438764e-06,0.0,7.66690257136117e-06,Cayman Islands
0.0,3.363992060978736e-05,0.0,2.8898325076669027e-05,Greenland
0.0,2.6679937035348595e-05,4.188832572362083e-05,2.653927813163482e-05,Burundi
0.0,2.4359942510535674e-05,0.00011170220192965554,3.77447511205473e-05,El Salvador
0.0,2.4359942510535674e-05,1.3962775241206943e-05,1.94621372965322e-05,GuineaBissau
0.0,7.65598193188264e-05,9.773942668844859e-05,6.133522057088936e-05,Gabon
0.0,2.5519939772942135e-05,0.0,1.179523472517103e-05,Eritrea
0.0,2.6679937035348595e-05,4.188832572362083e-05,3.479594243925454e-05,Angola
0.0,6.379984943235534e-05,8.377665144724166e-05,5.1899032790752534e-05,Haiti
0.0011402508551881414,2.6679937035348595e-05,0.0,2.1821184241566407e-05,Seychelles
0.0,1.2759969886471067e-05,6.981387620603471e-06,1.2974758197688134e-05,Cabo Verde
0.0,5.799986312032304e-06,0.0,4.128332153809861e-06,Palestinian Territory
0.0,1.8559956198503372e-05,2.7925550482413885e-05,1.2384996461429582e-05,Ivory Coast
0.0,1.9719953460909833e-05,3.490693810301735e-05,1.4744043406463789e-05,Mauritania
0.0,1.8559956198503372e-05,1.3962775241206943e-05,1.0025949516395377e-05,Reunion
0.0,1.1599972624064608e-06,5.585110096482777e-05,6.487379098844067e-06,Gibraltar
0.0,8.119980836845225e-06,4.8869713344224296e-05,9.436187780136825e-06,Maldives
0.0,3.479991787219382e-06,0.0,5.307855626326964e-06,Saint Lucia
0.0,5.799986312032304e-06,6.981387620603471e-06,4.7180938900684126e-06,Tonga
0.0,1.9719953460909833e-05,4.188832572362083e-05,2.4180231186600614e-05,Lesotho
0.0,2.3199945248129215e-06,6.981387620603471e-06,8.256664307619722e-06,Djibouti
0.0,3.479991787219382e-06,6.981387620603471e-06,2.3590469450342063e-06,Martinique
0.0,4.639989049625843e-06,0.0,7.0771408351026184e-06,Palau
0.0,2.3199945248129215e-06,2.7925550482413885e-05,1.1795234725171031e-06,Vatican
0.0,3.479991787219382e-06,1.3962775241206943e-05,5.307855626326964e-06,Aruba
0.0,1.1599972624064608e-06,0.0,5.897617362585516e-07,Turks and Caicos Islands
0.0,1.1599972624064608e-06,6.981387620603471e-06,4.7180938900684126e-06,Saint Vincent and the Grenadines
0.0,1.1599972624064608e-06,0.0,1.1795234725171031e-06,Isle of Man
0.0,0.0,0.0,5.897617362585516e-07,Aland Islands
0.0,0.0,6.981387620603471e-06,0.0,British Virgin Islands
0.0,0.0,0.0,1.1795234725171031e-06,Tuvalu
0.0,0.0,0.0,2.3590469450342063e-06,Sao Tome and Principe
0.0,1.1599972624064608e-06,0.0,5.897617362585516e-07,Montserrat
